1/2
1/4
10
10.00
10.5
100
11
11.00
12
3/4
30
35
4.50
40
45
50
55
56
580
6
6.5
60
600
620
625
63
630
640
645
65
650
67
69
7
7.10
70
75
8
8.5
80
85
88
9
"95"
9.00
9.5
90
